word,freq
artemisia,artemisia,13
kiwi,kiwi,105
strawberry,strawberry,1078
watermelon,watermelon,108
gardenia,gardenia,9
citrus_peel,citrus_peel,4
frankfurter,frankfurter,37
sea_algae,sea_algae,4
red_algae,red_algae,2
grape,grape,345
raw_beef,raw_beef,2
mozzarella_cheese,mozzarella_cheese,1290
sauerkraut,sauerkraut,184
smoked_sausage,smoked_sausage,268
lovage,lovage,142
cherry_brandy,cherry_brandy,34
porcini,porcini,106
black_currant,black_currant,11
blackberry,blackberry,169
chicken_liver,chicken_liver,51
rye_bread,rye_bread,91
corn_grit,corn_grit,162
buttermilk,buttermilk,1633
tomato_juice,tomato_juice,176
whiskey,whiskey,148
cured_pork,cured_pork,314
swiss_cheese,swiss_cheese,522
violet,violet,6
tequila,tequila,142
catfish,catfish,68
chayote,chayote,26
leaf,leaf,9
oat,oat,1267
prickly_pear,prickly_pear,20
guava,guava,13
blue_cheese,blue_cheese,395
cereal,cereal,204
romano_cheese,romano_cheese,275
blueberry,blueberry,465
red_kidney_bean,red_kidney_bean,59
munster_cheese,munster_cheese,27
baked_potato,baked_potato,9
popcorn,popcorn,97
bourbon_whiskey,bourbon_whiskey,156
bartlett_pear,bartlett_pear,23
coconut_oil,coconut_oil,17
roasted_meat,roasted_meat,15
sour_milk,sour_milk,46
nectarine,nectarine,50
port_wine,port_wine,49
sumac,sumac,14
berry,berry,182
clove,clove,10
rhubarb,rhubarb,169
cabernet_sauvignon_wine,cabernet_sauvignon_wine,17
macadamia_nut,macadamia_nut,102
provolone_cheese,provolone_cheese,167
black_mustard_seed_oil,black_mustard_seed_oil,28
armagnac,armagnac,11
roquefort_cheese,roquefort_cheese,23
sassafras,sassafras,18
peppermint,peppermint,142
truffle,truffle,52
concord_grape,concord_grape,12
apple_brandy,apple_brandy,37
lingonberry,lingonberry,9
lavender,lavender,62
bergamot,bergamot,7
laurel,laurel,2
galanga,galanga,34
smoked_fish,smoked_fish,6
potato_chip,potato_chip,65
pear_brandy,pear_brandy,11
chamomile,chamomile,3
black_raspberry,black_raspberry,8
camembert_cheese,camembert_cheese,12
jasmine,jasmine,7
wood,wood,33
huckleberry,huckleberry,10
balm,balm,3
herring,herring,10
sturgeon_caviar,sturgeon_caviar,1
geranium,geranium,1
pelargonium,pelargonium,1
roasted_nut,roasted_nut,1
spearmint,spearmint,5
muscat_grape,muscat_grape,1
roasted_pecan,roasted_pecan,1
cacao,cacao,35
carob,carob,7
ouzo,ouzo,9
roasted_hazelnut,roasted_hazelnut,1
mate,mate,1
jasmine_tea,jasmine_tea,1
pork_liver,pork_liver,5
elderberry,elderberry,5
lilac_flower_oil,lilac_flower_oil,1
roasted_almond,roasted_almond,3
hop,hop,3
angelica,angelica,1
blackberry_brandy,blackberry_brandy,4
carnation,carnation,3
soybean_oil,soybean_oil,2
mutton,mutton,3
holy_basil,holy_basil,2
durian,durian,1
rapeseed,rapeseed,3
grape_brandy,grape_brandy,8
pimenta,pimenta,2
sheep_cheese,sheep_cheese,2
strawberry_jam,strawberry_jam,1
strawberry_juice,strawberry_juice,2
jamaican_rum,jamaican_rum,1
emmental_cheese,emmental_cheese,1

