word,freq
pimenta,pimenta,2
bourbon_whiskey,bourbon_whiskey,1
whiskey,whiskey,4
peppermint,peppermint,1
oat,oat,4
tequila,tequila,3
cherry_brandy,cherry_brandy,1
roquefort_cheese,roquefort_cheese,1
palm,palm,1
mace,mace,2
cereal,cereal,1
catfish,catfish,1
sesame_oil,sesame_oil,1
leaf,leaf,1
maple_syrup,maple_syrup,1
matsutake,matsutake,4
sheep_cheese,sheep_cheese,1
chinese_cabbage,chinese_cabbage,1
nira,nira,1

